text_skill,5e_skill
Climb,Athletics
Balance,Acrobatics
Sleight of Hand,Sleight of Hand
Hide,Stealth
Knowledge (arcana),Arcana
Knowledge (nobility),History
Knowledge (royalty),History
Gather Information,Investigation
Knowledge (nature),Nature
Knowledge (religion),Religion
Ride,Animal Handling
Sense Motive,Insight
Heal,Medicine
Spot,Perception
Survival,Survival
Bluff,Deception
Intimidate,Intimidation
Perform,Performance
Diplomacy,Persuasion
Swim,Athletics
Jump,Athletics
Tumble,Acrobatics
Move Silently,Stealth
Spellcraft,Arcana
Knowledge (planes),Arcana
Knowledge (history),History
Knowledge (local),History
Search,Investigation
Handle Animal,Animal Handling
Listen,Perception
Knowledge (geography),Nature
Escape Artist,Acrobatics
Craft (Composing),Performance
Profession (Astrologist),History
Occultism,Arcana
Society,History
Old Lore,History
Finesse,Sleight of Hand
Persuade,Persuasion
Deception,Deception
Intimidation,Intimidation
Performance,Performance
Persuasion,Persuasion
Acrobatics,Acrobatics
Sleight of Hand,Sleight of Hand
Stealth,Stealth
Arcana,Arcana
History,History
Investigation,Investigation
Nature,Nature
Religion,Religion
Athletics,Athletics
Animal Handling,Animal Handling
Insight,Insight
Medicine,Medicine
Perception,Perception
Survival,Survival
Healing,Medicine
Song,Performance
Expore,Survival
Corruption,Deception
Awareness,Perception
Lore,History
Vigilant,Perception
Hunting,Survival
Awe,Intimidation
Courtesy,Persuasion
Notice,Perception
Empathy,Insight
Cunning,Deception
Occult,Perception
Manipulate,Perception
Wild,Nature
Spout Lore,Nature
Lie Detection,Insight
Charm,Persuasion
Trading,Persuasion
Mobility,Acrobatics
Befriend,Persuasion